author,hit_name,institute,research_area
Shibo Wang,Shibo Wang,"University of California, Riverside","genomic selection,gwas"
Ye Zhang,Ye Zhang,Google Brain,"natural language processing,information retrieval,web search and ranking,machine learning,deep learning"
Shen Wu,Sheng Wu,Southern Taiwan University of Science and Technology,"knowledge management,electronic commerce,and management of information systems"
Rigel Swavely,,,
Tao,NJ Tao,Arizona State University,"chemical sensors,biosensors,mobile health technologies,molecular electronics,electrochemistry"
Yu,Jie Yu,"Iowa State University, Oklahoma State University, CERN, Nanjing University, CEA Saclay / Paris 11","high energy physics,particle physics,cosmology,accelerator physics"
Phuong Dao,Phuong D. Dao,"University of Wisconsin-Madison, University of Toronto","imaging spectroscopy,lidar,plant ecophysiology,plant-insect interaction"
Christopher Fifty,Christopher Fifty,Google Brain,"machine learning,natural language processing"
Zhifeng Chen,Zhifeng Chen,Google Inc.,"distributed systems,machine learning,artificial intelligence,natural language processing,deep learning"
Yonghui Wu,Yonghui Wu,Google Brain,"information retrieval,learn to rank,artificial intelligence,machine learning,natural language processing"
Salar Mohtaj,Salar Mohtaj,Technical University of Berlin,"natural language processing,machine learning,information retrieval"
Babak Naderi,Babak Naderi,Microsoft,"crowdsourcing,quality of experience,subjective test,speech,statistical modeling"
Sebastian Möller,Sebastian Möller,"Professor for Quality and Usability, TU Berlin and Department Head, DFKI and Adjunct Professor","quality of experience,user experience,speech and dialog,prediction of quality and usability"
Faraz Maschhur,,,
Chuyang Wu,,,
Max Reinhard,Martin Reinhardt,"Max Planck Institute for Biophysical Chemistry, Göttingen",statistical physics / computational free energy calculations
Ruoxi Sun,Ruoxi Sun,"Columbia University, Google","machine learning,statistics,computational biology"
Lennart Justen,Lennart Justen,University of Wisconsin–Madison,
Kilian Müller,Kilian Müller,"Optical Engineer, R&D, LightOn",
Marco Niemann,Marco Niemann,"European Research Center for Information Systems (ERCIS), University of Münster","information systems,plattform economy,hate speech,egovernment"
Jörg Becker,Jörg Becker,"Full Professor of Information Systems, University of Münster","conceptual modeling,business processes,service research,e-government,retail"
Roland Roller,Roland Roller,German Research Center for Artificial Intelligence (DFKI),"natural language processing,information extraction,bionlp,clinical decision support"
Laura Seiffe,Laura Seiffe,DFKI,nlp
Ammer Ayach,Ammer Ayach,Technical University of Berlin,
Oliver Marten,Olivier Martin,"INRAE, University Paris-Saclay","quantitative biology,systems biology,genetic recombination,combinatorial optimization,computational science"
Michael Mikhailov,,,
Christoph Alt,Christoph Alt,"Postdoctoral Researcher, ETH Zurich","neutrino physics,proton decay,detector r&d,simulation"
Danilo Schmidt,Danilo Marcello Schmidt,"Wissenschaftlicher Mitarbeiter, Technische Universität München, Lehrstuhl für Produktentwicklung","product-service systems,customer acceptance"
Fabian Halleck,,,
Marcel Naik,,,
Wiebke Duettmann,,,
Klemens Budde,Klemens Budde,Charité Universitätsmedizin Berlin,"transplantation,kidney,genetic diseases,ehealth"
Joan Giner-Miguelez,Joan Giner-Miguelez,Universitat Oberta de Catalunya,"software engineering,mde,machine learning,datasets,cms"
Abel Gómez,Abel Gómez,Universitat Oberta de Catalunya,"software engineering,model driven engineering,model persistence,asyncapi,iot"
Jordi Cabot,Jordi Cabot,ICREA Research Professor at Internet Interdisciplinary Institute (UOC),"software engineering,modeling,open source,bots,ai"
Laura Alonso Alemany,Laura Alonso Alemany,"Facultad de Matemática, Astronomía y Física, Universidad Nacional de Córdoba","intel·ligència artificial,processament del llenguatge natural"
Luciana Benotti,Luciana Benotti,"Universidad Nacional de Cordoba, Argentina",
Lucía González,Lucy T. González,Instituto Tecnológico y de Estudios Superiores de Monterrey,
Jorge Sánchez,Jorge Sánchez,CIEM-CONICET,"computer vision,image understanding,machine learning,pattern recognition"
Beatriz Busaniche,,,
Alexia Halvorsen,,,
Matías Bordone,,,
Rico H. Herzog,,,
Juliana E. Gonçalves,Juliana E. Goncalves,TU Delft,"energy & environment,solar energy,urban research,spatial justice,buildings & housing"
Geertje Slingerland,dr. Geertje Slingerland,"Senior researcher, Hogeschool Rotterdam","co-design,civic engagement,research through design,participatory design,grassroots"
Reinout Kleinhans,Reinout Kleinhans,Associate Professor at Delft University of Technology,"urban regeneration,social capital,community entrepreneurship,gentrification,neighbourhood change"
Holger Prang,,,
Frances Brazier,Frances Brazier,"Full professor Systems Engineering, Delft University of Technology","participatory systems,distributed systems,multi-agent systems,design,autonomic computing"
Trivik Verma,Trivik Verma,Assistant Professor at TU Delft,"urban science,network science,computational social science,urban inequalities,citizen participation"
Clemens Sauerwein,Clemens Sauerwein,University of Innsbruck,information security
Alexander Pfohl,,,
Zeinab Abou Khalil,Zeinab Abou Khalil,PhD,"software engineering,mining software repositories,software evolution,software maintenance"
Stefano Zacchiroli,Stefano Zacchiroli,"LTCI, Télécom Paris, Polytechnique Institute of Paris, France","software engineering,open source software,formal methods,digital preservation,web technologies"
Yongxin Zhou,Yongxing Zhou,Huawei; Samsung,"wireless communication,4g,5g,mimo,millimeter wave"
François Portet,François Portet,"professeur, Laboratoire d'Informatique de Grenoble, Univ Grenoble Alpes","natural language processing,ambient intelligence,artificial intelligence,context-aware activity and situation recognition"
Fabien Ringeval,Fabien Ringeval,"Associate Professor, Université Grenoble Alpes, LIG, France","speech processing,machine learning,affective computing,atypical communication"
Thierry Desot,,,
Michel Vacher,Michel Vacher,CNRS - LIG,"context aware interaction,natural language processing,ambient intelligence"
Xiaoxi Shen,Xiaoxi Shen,Texas State University,statistics
Jinghang Lin,Jinghang lin,"Postdoctoral associate, Yale University","statistical genetics,machine learning,high dimensional statistics"
Xuezhi Wang,Xuezhi Wang,University of Melbourne and RMIT University,"information geometry,estimation theory,sensor signal processing,plant sensing"
Jason Wei,Jason Wei,"Research Scientist, Google Brain","artificial general intelligence,natural langauge processing"
Dale Schuurmans,Dale Schuurmans,"Research Scientist, Google Brain / Professor, University of Alberta",machine learning
Quoc Le,Quoc V. Le,"Research Scientist, Google Brain","machine learning,artificial intelligence"
Ed Chi,Ed H. Chi,Google Research / Google Brain,"machine learning,recommenders,dialog systems,hci,social computing"
Denny Zhou,Denny Zhou,"Research Scientist, Google Brain","machine learning,artificial intelligence"
Jiachen Lu,Jiachen Lu,Fudan University,"computer vision,deep learning"
Li Zhang,Li Zhang,"National Key Laboratory of Antennas and Microwave Technology, Xidian University","antenna arrays,evolutionary computation techniques,and optimization algorithms in electromagnetics"
Junge Zhang,Junge ZHANG,"National Laboratory of Pattern Recognition, CASIA","artificial intelligence,computer vision,reinforcement learning,multi-agent reinforcement learning"
Xiatian Zhu,Xiatian Zhu,University of Surrey,"machine learning,computer vision"
Hang Xu,Hang Xu,Stanford University,cancer evolution
Jianfeng Feng,jianfeng feng,Fudan University / University of Warwick,"applied math,computational biology,data science,brain science"
Hao Xing,Hao Xing,"Associate Professor, Hangzhou Dianzi University","distributed optimization,smart grid"
Darius Burschka,Darius Burschka,"Professor of Computer Science, Technical University of Munich","image processing,computer vision,structure from motion,human-computer interaction,3d reconstruction"
Rosanna Milner,Rosanna Milner,"University of Sheffield, UK","speech technology,speaker diarisation,speaker diarization,speaker linking,speech emotion recognition"
Md Asif Jalal,Md Asif Jalal,Post doctoral research associate,"machine learning,asr,speech processing,affective computing"
Raymond W. M. Ng,Raymond WM Ng,Signal AI,"speech recognition,speaker recognition,natural language processing"
Thomas Hain,Thomas Hain,"Professor of Speech Technology, University of Sheffield","speech technology,audio technology,speech recognition,machine learning,multimodal interfaces"
Tiancheng Zhao,Tiancheng Zhao,"Binjiang Institute of Zhejiang University, Research Scientist & Director of Om AI Lab.","natural language processing,multimodal machine learning,dialog systems"
Tianqi Zhang,Tianqi Zhang,"Post-doc, CEMPS/SIPPE","plant sciences,stem cell regulatin,single cell biology"
Mingwei Zhu,Mingwei Zhu,Applied Materials,"mocvd,pvd aln,green leds,uv leds,power devices"
Haozhan Shen,,,
Kyusong Lee,Kyusong Lee,"Language Technologies Institute, Carnegie Mellon University","natural language processing,question answering,dialog system,artificial intelligence"
Xiaopeng Lu,Xiaopeng Lu,Helmholtz-Zentrum Geesthacht,"surface treatment,corrosion protection,mg alloy"
Jianwei Yin,Jianwei Yin,"Professor of Computer Science and Technology, Zhejiang University","service computing,cloud computing,middleware"
Andis Lagzdiņš,Andis Lagzdiņš,Tilde,
Uldis Siliņš,,,
Mārcis Pinnis,Mārcis Pinnis,Tilde,"natural language processing,machine learning,machine translation,multilingual term extraction,machine transliteration"
Toms Bergmanis,Toms Bergmanis,"Tilde, University of Latvia","natural language processing,morphology,machine translation"
Artūrs Vasiļevskis,,,
Andrejs Vasiļjevs,Andrejs Vasiļjevs,Tilde,terminology management - machine translation - natural language processing
Yanbo J. Wang,,,
Yuming Li,Yuming Li,Massachusetts General Hospital and Harvard Medical School,
Hui Qin,Hui Qin,Dalian University of Technology,"tunnel and underground engineering,ground penetrating radar,structrual health monitoring"
Yuhang Guan,,,
Sheng Chen,Sheng Chen,"Professor, University of Southampton","computational intelligence,wireless communication,signal processing"
Damien Dablain,,,
Lilian Huang,Lillian Huang,"Ph.D student, University of Maryland College Park","graphics,computer vision"
Brandon Sepulvado,Brandon Sepulvado,NORC at the University of Chicago,
Ekaterina Voloshina,Ekaterina Voloshina,Higher School of Economics,"natural language processing,grammatical semantics,morphology,computational linguistics"
Oleg Serikov,,,
Tatiana Shavrina,,,
Johan Broberg,,,
Maria Bånkestad,Maria Bånkestad,Uppsala University,machine learning
Erik Ylipää,,,
Xiang 'Anthony' Chen,Xiang 'Anthony' Chen,"Assistant Professor, UCLA",human-computer interaction
Chien-Sheng Wu,Chien-Sheng (Jason) Wu,Salesforce AI Research,"machine learning,natural language processing,conversational ai"
Tong Niu,Tong Niu,Salesforce Research,"natural language processing,computational linguistics,deep learning"
Wenhao Liu,Wenhao Liu,MIT,
Caiming Xiong,Caiming Xiong,Salesforce Research,"machine learning,nlp,computer vision,multimedia,data mining"
Devin Coughlin,Devin Coughlin,University of Colorado,static analysis
Maylee Gagnon,,,
Victoria Grasso,,,
Guanyi Mou,Guanyi Mou,Worcester Polytechnic Institute,"deep learning,nlp,hate speech detection"
Kyumin Lee,Kyumin Lee,"Associate Professor, Computer Science, Worcester Polytechnic Institute","data science,data mining,social media mining,social computing,web mining"
Renata Konrad,Renata Konrad,Worcester Polytechnic Institute,"operations research,simulation,optimization,human trafficking,healthcare"
Patricia Raxter,,,
Meredith Gore,Meredith Gore,University of Maryland,conservation social science
Jinglin Wang,,,
Fang Ma,Lu-Fang Ma,洛阳师范学院化学教授,配位化学
Yazhou Zhang,Yazhou Zhang,"IRCRE, MPFL, Xi'an Jiaotong University; Xiamen University.","solar energy conversion,photocatalysis,hydrogenation,hydrogen energy"
Dawei Song,Dawei Song,University of Pennsylvania,"solid mechanics,computational mechanics,experimental mechanics,multi-scale modeling,data-driven modeling"
Jianfei Yang,Jianfei Yang,"Principal Investigator, Presidential Postdoctoral Research Fellow, Nanyang Technological University","wireless sensing,machine learning,aiot,blockchain"
Xinyan Chen,,,
Dazhuo Wang,,,
Han Zou,Han Zou,Microsoft AI and Research,"deep learning,internet of things,transfer learning"
Chris Xiaoxuan Lu,Chris Xiaoxuan Lu,Assistant Professor at University of Edinburgh,"cyber physical systems,mobile robotics,internet of things,cyber security"
Sumei Sun,Sumei Sun,Institute for Infocomm Research,"5g/6g,industrial iot,integrated secure sensing-communications-computing-control design,cyber physical system"
Lihua Xie,Lihua Xie,"Professor of Electrical Engineering, Nanyang Technological University","robust control,networked control,mult-agent systems"
Kristian Miok,Kristian Miok,West University of Timișoara,"machine learning,statistical modeling,data science"
Encarnacion Hidalgo-Tenorio,Encarnacion Hidalgo Tenorio,"Professor in English Linguistics, English and German Department, University of Granada, Spain","corpus-based cda,sfl,language and gender,political discourse"
Petya Osenova,Petya Osenova,"СУ ""Св. Кл. Охридски"" и ИИКТ-БАН","граматическо моделиране,обработка на естествен език"
Miguel-Angel Benitez-Castro,Miguel-Angel Benitez-Castro,Universidad de Zaragoza,"discourse analysis,systemic functional grammar,appraisal theory,shell nouns"
Marko Robnik-Sikonja,Marko Robnik-Šikonja,"Professor od Computer Science and Informatics, University of Ljubljana","data mining,machine learning,artificial intelligence,natural language processing,network analysis"
Hoang Thi Thu Uyen,Hoang Thi Thu Uyen,"Posts and Telecommunications Institute of Technology, Hanoi, Vietnam",natural language processing
Nguyen Anh Tu,Nguyen Anh Tu,"Assistant Professor of Computer Science, Nazarbayev university","computer vision,machine learning,deep learning,big data analysis"
Ta Duc Huy,,,
Ebrahim Chekol Jibril,,,
A. Cüneyd Tantğ,,,
Salih Furkan Akkurt,,,
Büşra Marşan,Büşra Marşan,Boğaziçi University,"computational linguistics,semantics,natural language processing"
Susan Uskudarli,Susan Uskudarli,Bogazici University,"social semantic web,social network analysis,social media analysis,web technologies,acessibility of web content"
Rishab Mitra,,,
Arpit Narechania,Arpit Narechania,"CS Ph.D. Student, Georgia Institute of Technology","visual analytics,human computer interaction,information visualization,natural language processing"
Alex Endert,Alex Endert,"Associate Professor, Georgia Tech","human-computer interaction,information visualization,visual analytics"
John Stasko,John Stasko,"Regents Professor of Interactive Computing, Georgia Institute of Technology","information visualization,visual analytics,human-computer interaction"
Laida Kushnareva,Laida Kushnareva,Huawei,"topological data analysis,natural language processing"
Dmitri Piontkovski,Dmitri Piontkovski,"National Research University Higher School of Economics, Moscow, Russia","noncommutative algebra,operads,input-output analisys,obedience to authority"
Irina Piontkovskaya,,,
Thong Nguyen,Thong Q. Nguyen,Microsoft,"machine learning,statistics,high energy physics"
Cong-Duy Nguyen,Cong Duy Nguyen,VinAI Research,"deep learning,natural language processing,vision and language integration"
Xiaobao Wu,Xiaobo Wu,Virginia Tech,"sudden cardiac death,cardiac electrophysiology"
Anh Tuan Luu,Lưu Tuấn Anh,"Doctor of Cultural Studies, Ho Chi Minh City University of Food Industry","cultural studies,tourism studies"
Tong Zhang,Tong Zhang,HKUST,machine learning
Peng Gao,Peng Gao,Xidian Univeristy,"optics,super-resolution imaging,digital holographic microscopy,phase microscopy"
Hao Dong,Hao Dong,Peking University,
Yin Zhuang,Yin Zhang,"Professor, Highly Cited Researcher, University of Electronic Science and Technology of China","big data,mobile computing,edge intelligence"
Guanqun Wang,,,
Wei Zhang,Wei Zhang,"Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University","neuro-oncology,neurosurgery,tumor biology"
He Chen,He Chen,Peking University,"health expectancy,long-term care"
Hoang-Anh Pham,Hoang-Anh Pham,Hanoi University of Civil Engineering,"structural optimization,fuzzy structural analysis,structural identification"
Thao Minh Le,Thao Minh Le,Deakin University,"computer vision,visual reasoning,machine learning,machine reasoning,artificial intelligence"
Vuong Le,Vuong Le,Deakin University,"computer vision,machine learning"
Tu Minh Phuong,Tu Minh Phuong,"Posts & Telecommunications Institue of Technology, Vietnam","bioinformatics,machine learning"
Truyen Tran,Truyen Tran,"Associate Professor | Head of AI, Health and Science @ Applied AI Institute, Deakin University","artificial intelligence,machine learning,computational biomedicine,computer vision"
D'Jeff Kanda Nkashama,,,
Arian Soltani,Arian Soltani,"PhD Candidate, Université de Sherbrooke","deep learning,cybersecurity,artificial intelligence"
Jean-Charles Verdier,Jean-Charles Verdier,Assistant research University of Sherbrooke,"anomaly detection,machine learning,deep learning"
Marc Frappier,Marc Frappier,Université de Sherbrooke,formal methods security b method process algebra astd
Pierre-Marting Tardif,,,
Froduald Kabanza,Froduald Kabanza,"Professor of Computer Science, Université de Sherbrooke","artificial intelligence,machine learning,planning"
Vitor Garcia dos Santos,Vitor Augusto dos Santos Garcia,Universidade de São Paulo,engenharia de alimentos
Ivandré Paraboni,Ivandré Paraboni,University of Sao Paulo,natural language processing
Albert Weichselbraun,Albert Weichselbraun,University of Applied Sciences of the Grisons,"sentiment analysis,web intelligence,text mining,ontology learning,natural language processing"
Roger Waldvogel,,,
Andreas Fraefel,,,
Alexander van Schie,,,
Philipp Kuntschik,Philipp Kuntschik,"University of Applied Sciences, HTW Chur",
Wes Robbins,Wes Robbins,University of Colorado Colorado Springs,"deep learning,computer vision,boimetrics"
Zanyar Zohourianshahzadi,Zanyar Zohourianshahzadi,Ph.D. Candidate CS&AI @ UCCS,"vision-language,artificial general intelligence"
Jugal Kalita,Jugal Kalita,"University of Colorado, Colorado Springs","natural language processing,computational linguistics,bioinformatics,machine learning in cybersecurity"
Liwei Guo,LIWEI GUO,Hong Kong University of Science&Technology/Thomson/Qualcomm/Akamai,"video,image,coding"
Wonkyo Choe,Wonkyo Choe,University of Virginia,operating systems
Felix Xiaozhu Lin,Felix Xiaozhu Lin,University of Virginia -- See my home page for papers. Google seems not to do well 😏,systems software
Qing Huang,Qing Huang,"Ningbo Institute for Material Engineering and Technology, Chinese Academy of Science","inorganic non-metal materialsl,ceramics,max phase,sic"
Zhiqiang Yuan,zhiqiang yuan,"Aerospace Information Research Institute, Chinese Academy of Sciences, University of Chinese Academy","pr,cv"
Zhenchang Xing,Zhenchang Xing,"Senior Principal Research Scientist, CSIRO's Data61 & Australian National University","software engineering,human-computer-interaction,responsible ai"
Zhengkang Zuo,,,
Changjing Wang,Changjiang Wang,University of Cincinnati,"financial accounting,international reporting standards"
Xin Xia,Xin Xia,"Director of Software Engineering Application Technology Lab, Huawei, China","software engineering,software analytics,empirical software engineering,mining software repositories"
Benyou Wang,Benyou Wang,"Assistant Professor, The Chinese University of Hong Kong, Shenzhen","natural language processing,information retrieval,applied machine learning"
Xiangbo Wu,,,
Xiaokang Liu,Xiaokang Liu,China University of Geoscience,"paleontology,mass extinction,foraminifera,deep learning,python"
Jianquan Li,Jianquan Li,"Institute of automation, Chinese Academy of Sciences",
Prayag Tiwari,Prayag Tiwari,"Aalto University, Finland","artificial intelligence,machine learning,healthcare,cognitive science,quantum computing"
Qianqian Xie,Qianqian Xie,"Department of Computer Science, University of Manchester","natural language processing,biomedical text summarization"
Anna Nguyen,Ann Nguyen,Unknown affiliation,
Antonio Longa,Antonio Longa,Fondazione Bruno Kessler,"data mining,temporal networks,geometric deep learning"
Massimiliano Luca,Massimiliano Di Luca,"University of Birmingham, School of Psychology","multisensory perception,time perception,haptics,virtual reality"
Joe Kaul,,,
Gabriel Lopez,Gabriel Lopez,"Professor of Computer Science, UABC","educational technology,learning objetcs,mobile learning,learning environments"
Ruina Sun,,,
Yuexin Pang,,,
Qihang Yu,Qihang Yu,Johns Hopkins University,"computer vision,medical image analysis,deep learning"
Huiyu Wang,Huiyu Wang,Johns Hopkins University,computer vision
Siyuan Qiao,Siyuan Qiao,"Research Scientist, Google",computer vision
Maxwell Collins,Maxwell D. Collins,Google,computer vision
Yukun Zhu,Yukun Zhu,Google,machine learning and computer vision
Hatwig Adam,Hartwig Adam,"Director of Engineering, Google Research","computer vision,machine learning,machine perception,machine intelligence"
Alan Yuille,Alan Yuille,"Professor of Cognitive Science and Computer Science, Johns Hopkins University","computer vision,computational models of mind and brain,machine learning"
Liang-Chieh Chen,Liang-Chieh Chen,University of Southern California,"medicinal chemistry,computer aided drug design,antibody drug conjugates"
Prateek Kacker,,,
Andi Cupallari,Andi Çupallari,PhD Candidate,"finance,econometrics,natural language processing"
Aswin Gridhar Subramanian,Aswin Giridhar Subramanian,The University of Edinburgh,"nlp,multilingual nlp,domain adaptation,language models"
Nimit Jain,Nimit Jain,"Altos Labs, UCSF, Stanford University, Yale University",molecular biology
Rakesh M. Verma,"Rakesh Verma, Rakesh M. Verma, RM Verma, R Verma","Professor of Computer Science, University of Houston","analysis of algorithms,computational logic,data science,rewriting,security analytics"
Nachum Dershowitz,,,
Victor Zeng,Victor Zeng,"Research Assistant, University of Houston",machine learning
Xuting Liu,Xuting Liu,"University of California, Berkeley",machine learning
Shahrzad Naseri,Shahrzad Naseri,University of Massachusetts Amherst,"information retrieval,nlp,deep learning"
Sravana Reddy,Sravana Reddy,ASAPP,natural language processing
Joana Correia,Joana Correia,Carnegie Mellon University / University of Lisbon,"deep learning,machine learning,artificial inteligence,speech processing,natural language processing"
Jussi Karlgren,Jussi Karlgren,Spotify,"language technology,information retrieval,stylistics,genre,natural language processing"
Rosie Jones,Rosie Jones,"Director of Research in Language Technologies, Spotify","web search,natural language processing,conversational understanding systems,podcasts and computational advertising"
Othón González-Chávez,,,
Guillermo Ruiz,Guillermo Ruiz,Unknown affiliation,"politik,geschichte"
Daniela Moctezuma,Daniela Moctezuma,CONACYT - CentroGEO,"artificial intelligence,computer vision,pattern recognition,video surveillance,text categorization"
Tania A. Ramirez-delReal,,,
Tianyu Zhao,Tianyu Zhao,University of Washington,
Junping Du,Junping Du,Beijing University of Posts and Telecommunications,
Zhe Xue,Zhe Xue,Beijing University of Posts and Telecommunications,machine learning   multi-modal learning   multimedia analysis
Ang Li,Ang Li,Harbin Institute of Technology,environmental biotechnology
Zeli Guan,,,
Xiangyang He,Xiangyang He,"State Key Lab of CAD&CG, Zhejiang University","scientific visualization,data analysis"
Yubo Tao,Yubo Tao,"Assistant Professor of Economics, University of Macau","empirical asset pricing,financial econometrics,commodity futures,network analysis"
Shuoliu Yang,,,
Haoran Dai,Hao-Ran Dai,China Pharmaceutical University,clinical pharmacology
and Hai Lin,Hai-Ching Lin,National Chi Nan University   Department   of   Educational   Policy and Administration,教育行政，經營學，教育視導，校園規劃，課程與教學
Jianan Chen,Tianfeng Chen,Jinan University,"biomaterials,nanomedicine,immunotherapy"
Lu Zhang,Lu Zhang,CSIRO Land and Water,"water resources management,hydrology,climate change,environmental sciences"
Qiong Wang,Qiong Wang,Michigan State University,"microbial ecology,bioinformatics"
Cong Bai,Cong BAI,HKUST,transportation engineering
Kidiyo Kpalma,Kidiyo KPALMA,INSA de Rennes,"traitement d'image,traitement du signal,télédétection,reconnaissance de formes"
Natnael A. Wondimu,Natnael Argaw Wondimu,Researcher,machine learning
Cédric Buche,Cédric Buche,"Full Professor, ENIB",artificial intelligence / virtual reality
Ubbo Visser,Ubbo Visser,"Associate Professor of Computer Science, University of Miami","artificial intelligence,robotics,games"
Vladislav Dordiuk,,,
Ekaterina Demicheva,,,
Fernando Polanco Espino,,,
Konstantin Ushenin,,,
Utkarsh,Utkarsh Giri,"Perimeter Institute for Theoretical Physics, Waterloo","cosmology,fast radio bursts,large scale structure,machine learning"
Chris Elrod,,,
Yingbo Ma,Yingbo Ma,"University of Maryland, Baltimore County",numerical analysis
Christopher Rackauckas,Christopher Vincent Rackauckas,Massachusetts Institute of Technology,"scientific machine learning,sciml,numerical differential equations,stochastic biology"
Shuangfei Zhai,Shuangfei Zhai,Apple Inc.,"machine learning,deep learning"
Navdeep Jaitly,Navdeep Jaitly,Unknown affiliation,"acoustic modelling,machine learning,speech recognition and synthesis,computational biology,proteomics"
Jason Ramapuram,Jason Ramapuram,Apple,"generative modeling,self-supervised learning,differentiable memory,variational inference,lifelong learning"
Dan Busbridge,Dan Busbridge,Apple,"deep learning,theoretical physics,machine learning,representation learning,attention mechanisms"
Tatiana Likhomanenko,Tatiana Likhomanenko,Apple,"partial differential equations,high energy physics,machine learning,deep learning,speech recognition"
Joseph Yitan Cheng,,,
Walter Talbott,Walter A Talbott,"Graduate Student, UC San Diego","cognitive science,developmental robotics"
Chen Huang,Chen Huang,"Research Scientist, Apple Inc","machine learning,computer vision"
Hanlin Goh,Hanlin Goh,Apple Inc.,"deep learning,computer vision,autonomous systems"
Joshua Susskind,Joshua M Susskind,Apple AI Research,"deep learning,neural networks,computer vision,active perception,cognitive science"
Bowen Zhao,Bowen Zhao,Tsinghua University,"debias,incremental learning,class imbalance,vision,representation"
